Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
THUM1_HUMAN;1 (1);35.29;6.12e-003;7.21;123;THUMP domain-containing protein 1 OS=Homo sapiens GN=THUMPD1 PE=1 SV=2;222.50;1604.65
HEM2_HUMAN;4 (4);133.06;6.06e-003;8.93;123;Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1;603.57;5391.27
BTNL2_HUMAN;1 (1);28.67;6.01e-003;2.09;123;Butyrophilin-like protein 2 OS=Homo sapiens GN=BTNL2 PE=2 SV=1;2.80e+004;5.84e+004
TXNL1_HUMAN;5 (5);242.74;5.83e-003;4.09;123;Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3;3119.03;1.28e+004
CS010_HUMAN;3 (3);203.77;5.67e-004;3.46;123;UPF0556 protein C19orf10 OS=Homo sapiens GN=C19orf10 PE=1 SV=1;1.59e+004;5.51e+004
DX39B_HUMAN;4 (4);165.32;5.59e-003;9.50;123;Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1;601.44;5714.88
APEX1_HUMAN;4 (4);207.24;5.54e-004;8.90;123;DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2;2036.18;1.81e+004
ACY1_HUMAN;2 (2);69.41;5.51e-003;5.67;123;Aminoacylase-1 OS=Homo sapiens GN=ACY1 PE=1 SV=1;294.07;1668.86
DPOE1_HUMAN;3 (3);73.79;5.46e-003;1.95;123;DNA polymerase epsilon catalytic subunit A OS=Homo sapiens GN=POLE PE=1 SV=5;6424.37;1.25e+004
HEM6_HUMAN;1 (1);47.69;5.37e-004;Infinity;123;Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens GN=CPOX PE=1 SV=3;0.00;1373.70
FNDC1_HUMAN;15 (15);720.09;5.29e-003;7.54;123;Fibronectin type III domain-containing protein 1 OS=Homo sapiens GN=FNDC1 PE=1 SV=4;4206.60;3.17e+004
RSSA_HUMAN;3 (3);116.55;5.15e-003;2.02;123;40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4;1.27e+004;6309.08
IDUA_HUMAN;3 (3);116.25;5.14e-003;3.39;123;Alpha-L-iduronidase OS=Homo sapiens GN=IDUA PE=1 SV=2;821.06;2781.56
FAAA_HUMAN;5 (5);266.79;4.70e-003;2.22;123;Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2;2333.20;5185.28
CNTP1_HUMAN;1 (1);28.46;4.32e-003;2.25;123;Contactin-associated protein 1 OS=Homo sapiens GN=CNTNAP1 PE=1 SV=1;8723.31;1.96e+004
FLRT2_HUMAN;1 (1);36.18;4.09e-004;Infinity;123;Leucine-rich repeat transmembrane protein FLRT2 OS=Homo sapiens GN=FLRT2 PE=1 SV=1;0.00;355.00
ANGP4_HUMAN;3 (3);158.46;3.66e-004;9.07;123;Angiopoietin-4 OS=Homo sapiens GN=ANGPT4 PE=1 SV=1;3116.32;343.45
CLIC4_HUMAN;7 (7);316.79;3.63e-003;5.04;123;Chloride intracellular channel protein 4 OS=Homo sapiens GN=CLIC4 PE=1 SV=4;8711.13;4.39e+004
COPE_HUMAN;2 (2);105.47;3.16e-003;5.75;123;Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3;992.27;5706.48
AK1A1_HUMAN;13 (13);696.49;3.13e-003;3.49;123;Alcohol dehydrogenase [NADP(+)] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3;1.62e+004;5.66e+004
TRM13_HUMAN;1 (1);17.13;3.13e-003;3.22;123;tRNA:m(4)X modification enzyme TRM13 homolog OS=Homo sapiens GN=TRMT13 PE=1 SV=2;1948.49;6273.85
ANXA4_HUMAN;3 (2);91.18;2.72e-003;4.76;123;Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4;353.68;1682.89
METRN_HUMAN;1 (1);37.37;2.57e-004;Infinity;123;Meteorin OS=Homo sapiens GN=METRN PE=2 SV=2;0.00;882.01
IF6_HUMAN;4 (4);176.76;2.47e-003;11.75;123;Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1;2334.18;2.74e+004
PIR_HUMAN;3 (3);108.80;2.46e-003;7.29;123;Pirin OS=Homo sapiens GN=PIR PE=1 SV=1;563.98;4111.42
KCNT2_HUMAN;1 (1);40.76;2.16e-003;13.55;123;Potassium channel subfamily T member 2 OS=Homo sapiens GN=KCNT2 PE=1 SV=1;1.21e+004;894.19
QORX_HUMAN;5 (5);178.31;2.06e-003;5.18;123;Quinone oxidoreductase PIG3 OS=Homo sapiens GN=TP53I3 PE=1 SV=2;2259.96;1.17e+004
IPO5_HUMAN;4 (4);144.68;1.77e-003;4.03;123;Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4;1325.82;5339.19
EXTL2_HUMAN;3 (3);115.86;1.76e-003;2.30;123;Exostosin-like 2 OS=Homo sapiens GN=EXTL2 PE=1 SV=1;2081.98;4782.95
CRY1_HUMAN;1 (1);16.40;1.22e-003;Infinity;123;Cryptochrome-1 OS=Homo sapiens GN=CRY1 PE=1 SV=1;0.00;3354.35
ITIH5_HUMAN;3 (3);103.65;1.20e-003;4.03;123;Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens GN=ITIH5 PE=2 SV=2;1587.32;6404.27
GOLM1_HUMAN;8 (8);405.65;1.00;1.04;123;Golgi membrane protein 1 OS=Homo sapiens GN=GOLM1 PE=1 SV=1;5.38e+005;5.18e+005
MYH9_HUMAN;39 (32);2002.06;1.00;1.01;123;Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4;7.12e+004;7.08e+004
MDHC_HUMAN;11 (11);576.04;0.99;2.04;123;Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4;1.22e+005;5.98e+004
UXT_HUMAN;1 (1);22.61;0.99;1.33;123;Protein UXT OS=Homo sapiens GN=UXT PE=1 SV=1;1.70e+006;1.27e+006
MGN2_HUMAN;2 (2);118.07;0.99;1.21;123;Protein mago nashi homolog 2 OS=Homo sapiens GN=MAGOHB PE=1 SV=1;3731.02;3083.01
AP3B1_HUMAN;2 (2);42.51;0.99;1.20;123;AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3;9778.58;8174.76
ANAG_HUMAN;10 (10);462.09;0.99;1.13;123;Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2;6989.45;6206.53
CLH1_HUMAN;9 (9);368.48;0.99;1.08;123;Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5;4022.22;3724.71
PLIN3_HUMAN;5 (5);326.12;0.99;1.04;123;Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=3;1.84e+004;1.77e+004
CHST3_HUMAN;4 (4);214.79;0.99;1.02;123;Carbohydrate sulfotransferase 3 OS=Homo sapiens GN=CHST3 PE=1 SV=3;1.03e+004;1.01e+004
RYR3_HUMAN;2 (2);38.13;0.99;1.01;123;Ryanodine receptor 3 OS=Homo sapiens GN=RYR3 PE=1 SV=3;9824.69;9888.48
SERA_HUMAN;3 (3);186.21;0.98;1.54;123;D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4;2277.35;1477.40
PACE1_HUMAN;1 (1);28.38;0.98;1.46;123;Protein-associating with the carboxyl-terminal domain of ezrin OS=Homo sapiens GN=SCYL3 PE=1 SV=3;1014.60;695.63
THRB_HUMAN;3 (3);114.82;0.98;1.28;123;Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2;5639.77;4411.15
RS18_HUMAN;3 (3);151.61;0.98;1.19;123;40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3;4625.05;5498.46
POSTN_HUMAN;28 (28);1413.74;0.98;1.12;123;Periostin OS=Homo sapiens GN=POSTN PE=1 SV=2;3.28e+005;2.94e+005
OLFL3_HUMAN;14 (14);935.79;0.98;1.04;123;Olfactomedin-like protein 3 OS=Homo sapiens GN=OLFML3 PE=2 SV=1;8.76e+004;8.38e+004
MIF_HUMAN;10 (10);560.65;0.98;1.02;123;Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4;2.58e+005;2.54e+005
NNRE_HUMAN;4 (4);169.22;0.98;1.01;123;NAD(P)H-hydrate epimerase OS=Homo sapiens GN=APOA1BP PE=1 SV=2;2.98e+004;2.96e+004
NPTXR_HUMAN;1 (1);31.23;0.98;1.01;123;Neuronal pentraxin receptor OS=Homo sapiens GN=NPTXR PE=2 SV=2;1757.79;1766.73
SYNE2_HUMAN;4 (3);76.20;0.97;1.70;123;Nesprin-2 OS=Homo sapiens GN=SYNE2 PE=1 SV=3;1.07e+004;6313.61
CD59_HUMAN;1 (1);51.58;0.97;1.44;123;CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1;1.11e+004;7758.79
CRF_HUMAN;1 (1);18.22;0.97;1.15;123;Corticoliberin OS=Homo sapiens GN=CRH PE=1 SV=1;568.77;494.86
CNN1_HUMAN;2 (2);54.58;0.97;1.12;123;Calponin-1 OS=Homo sapiens GN=CNN1 PE=1 SV=2;3238.69;2896.75
ADAM9_HUMAN;3 (3);140.27;0.97;1.10;123;Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1;3.15e+004;2.88e+004
LEG3_HUMAN;8 (8);317.00;0.97;1.00;123;Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5;3.36e+004;3.35e+004
EF1G_HUMAN;7 (7);329.72;0.96;1.04;123;Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3;1.69e+004;1.62e+004
RS10_HUMAN;3 (3);160.15;0.96;1.03;123;40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1;8016.16;8254.91
ACTN4_HUMAN;45 (25);2404.66;0.96;1.00;123;Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2;6.66e+004;6.69e+004
PDC6I_HUMAN;1 (1);21.37;0.95;5.04;123;Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1;100.86;508.07
TOP2A_HUMAN;1 (1);17.47;0.95;2.28;123;DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3;3.02e+005;1.33e+005
SEM3B_HUMAN;1 (1);20.23;0.95;1.49;123;Semaphorin-3B OS=Homo sapiens GN=SEMA3B PE=2 SV=1;3771.83;2530.17
TOIP1_HUMAN;1 (1);40.31;0.95;1.42;123;Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=2;2331.52;1644.16
RISC_HUMAN;5 (5);249.79;0.95;1.31;123;Retinoid-inducible serine carboxypeptidase OS=Homo sapiens GN=SCPEP1 PE=1 SV=1;6442.49;4920.74
ASCC2_HUMAN;1 (1);28.74;0.95;1.31;123;Activating signal cointegrator 1 complex subunit 2 OS=Homo sapiens GN=ASCC2 PE=1 SV=3;3586.69;2730.01
NDK8_HUMAN;11 (1);630.46;0.95;1.24;123;Putative nucleoside diphosphate kinase OS=Homo sapiens GN=NME2P1 PE=5 SV=1;1.01e+005;8.16e+004
DOPD_HUMAN;4 (4);228.88;0.95;1.17;123;D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3;5.76e+004;4.95e+004
ECM2_HUMAN;12 (12);573.24;0.95;1.08;123;Extracellular matrix protein 2 OS=Homo sapiens GN=ECM2 PE=2 SV=1;1.97e+004;1.82e+004
MA2B1_HUMAN;8 (8);384.33;0.95;1.08;123;Lysosomal alpha-mannosidase OS=Homo sapiens GN=MAN2B1 PE=1 SV=3;1.24e+004;1.14e+004
SNX18_HUMAN;1 (1);45.68;0.95;1.08;123;Sorting nexin-18 OS=Homo sapiens GN=SNX18 PE=1 SV=2;9275.59;8549.39
GLRX3_HUMAN;3 (3);90.21;0.95;1.05;123;Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2;4410.17;4639.28
DAG1_HUMAN;3 (3);220.04;0.95;1.02;123;Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2;1.48e+004;1.44e+004
HPT_HUMAN;18 (18);1093.26;0.95;1.01;123;Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1;3.60e+005;3.62e+005
PSB8_HUMAN;4 (4);155.50;0.94;1.34;123;Proteasome subunit beta type-8 OS=Homo sapiens GN=PSMB8 PE=1 SV=3;1.01e+004;7556.01
HINT2_HUMAN;1 (1);33.92;0.94;1.12;123;Histidine triad nucleotide-binding protein 2, mitochondrial OS=Homo sapiens GN=HINT2 PE=1 SV=1;6467.41;5791.03
CATL1_HUMAN;5 (5);240.95;0.94;1.04;123;Cathepsin L1 OS=Homo sapiens GN=CTSL PE=1 SV=2;3.35e+004;3.21e+004
LDLR_HUMAN;1 (1);59.71;0.93;5.85;123;Low-density lipoprotein receptor OS=Homo sapiens GN=LDLR PE=1 SV=1;270.14;46.15
COA7_HUMAN;2 (2);43.52;0.93;1.12;123;Cytochrome c oxidase assembly factor 7 OS=Homo sapiens GN=COA7 PE=1 SV=2;8711.26;7780.42
GBLP_HUMAN;4 (4);137.55;0.93;1.07;123;Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=1 SV=3;5388.48;5024.61
BOC_HUMAN;1 (1);15.82;0.92;1.75;123;Brother of CDO OS=Homo sapiens GN=BOC PE=1 SV=1;2040.58;1169.11
VNN2_HUMAN;1 (1);53.50;0.92;1.65;123;Vascular non-inflammatory molecule 2 OS=Homo sapiens GN=VNN2 PE=1 SV=3;1327.41;802.18
UB2V1_HUMAN;6 (3);224.74;0.92;1.21;123;Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2;3.48e+004;2.87e+004
RS12_HUMAN;4 (4);131.13;0.92;1.16;123;40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3;2.35e+004;2.02e+004
TICN1_HUMAN;10 (10);384.01;0.92;1.12;123;Testican-1 OS=Homo sapiens GN=SPOCK1 PE=1 SV=1;2.81e+004;2.50e+004
ACTN1_HUMAN;62 (35);3837.94;0.92;1.10;123;Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2;1.20e+005;1.09e+005
PLEC_HUMAN;91 (88);4234.05;0.92;1.03;123;Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3;6.64e+004;6.44e+004
BMP1_HUMAN;10 (10);501.85;0.92;1.01;123;Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2;2.39e+004;2.37e+004
RNAS4_HUMAN;4 (4);214.55;0.91;1.56;123;Ribonuclease 4 OS=Homo sapiens GN=RNASE4 PE=1 SV=3;5.17e+004;3.33e+004
PADI3_HUMAN;3 (3);61.35;0.91;1.54;123;Protein-arginine deiminase type-3 OS=Homo sapiens GN=PADI3 PE=1 SV=2;7283.82;4718.97
RAP1A_HUMAN;3 (3);134.31;0.91;1.26;123;Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1;5554.87;4421.39
SMOC2_HUMAN;1 (1);45.71;0.91;1.25;123;SPARC-related modular calcium-binding protein 2 OS=Homo sapiens GN=SMOC2 PE=2 SV=2;1668.08;1332.84
OXSR1_HUMAN;2 (2);69.86;0.91;1.10;123;Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1;1544.91;1401.11
TCO2_HUMAN;1 (1);23.05;0.91;1.08;123;Transcobalamin-2 OS=Homo sapiens GN=TCN2 PE=1 SV=3;4.05e+005;3.76e+005
SSBP_HUMAN;2 (2);105.91;0.91;1.06;123;Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1;1.15e+004;1.09e+004
KAD2_HUMAN;10 (10);406.05;0.91;1.02;123;Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2;4.88e+004;4.96e+004
VKIND_HUMAN;1 (1);32.80;0.90;1.22;123;Protein very KIND OS=Homo sapiens GN=KNDC1 PE=2 SV=2;9222.12;7567.00
FILA2_HUMAN;1 (1);45.19;0.90;1.08;123;Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1;4161.71;4509.78
PDGFC_HUMAN;1 (1);100.32;0.90;1.05;123;Platelet-derived growth factor C OS=Homo sapiens GN=PDGFC PE=1 SV=2;1.20e+004;1.14e+004
RAB5C_HUMAN;1 (1);31.66;0.90;1.03;123;Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2;2239.63;2297.76
LPP_HUMAN;3 (3);67.07;0.90;1.01;123;Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1;8796.21;8720.16
WASH7_HUMAN;1 (1);30.69;0.89;2.14;123;WASH complex subunit 7 OS=Homo sapiens GN=KIAA1033 PE=1 SV=2;735.00;1573.69
SAHH_HUMAN;6 (6);256.98;0.89;1.66;123;Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4;6187.95;3733.80
GPC1_HUMAN;13 (13);665.08;0.89;1.26;123;Glypican-1 OS=Homo sapiens GN=GPC1 PE=1 SV=2;3.08e+004;2.45e+004
HXK2_HUMAN;1 (1);25.43;0.89;1.14;123;Hexokinase-2 OS=Homo sapiens GN=HK2 PE=1 SV=2;6344.89;5569.11
PXDN_HUMAN;31 (31);1561.77;0.89;1.12;123;Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2;9.63e+004;8.58e+004
IDHC_HUMAN;6 (6);190.11;0.89;1.10;123;Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2;9352.65;8485.91
PARP1_HUMAN;1 (1);30.15;0.88;2.09;123;Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4;1.20e+004;5764.86
SCND3_HUMAN;1 (1);19.21;0.88;1.54;123;SCAN domain-containing protein 3 OS=Homo sapiens GN=SCAND3 PE=2 SV=1;5492.37;3573.55
IF1AX_HUMAN;1 (1);44.80;0.88;1.43;123;Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens GN=EIF1AX PE=1 SV=2;9071.92;6349.63
SAA2_HUMAN;3 (2);148.39;0.88;1.33;123;Serum amyloid A-2 protein OS=Homo sapiens GN=SAA2 PE=1 SV=1;6556.61;4941.38
FYCO1_HUMAN;1 (1);25.54;0.88;1.13;123;FYVE and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=FYCO1 PE=1 SV=3;7828.09;8880.96
GSTM5_HUMAN;1 (1);37.28;0.88;1.02;123;Glutathione S-transferase Mu 5 OS=Homo sapiens GN=GSTM5 PE=1 SV=3;3660.78;3733.54
ADA15_HUMAN;6 (6);246.97;0.88;1.01;123;Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens GN=ADAM15 PE=1 SV=4;1.03e+004;1.05e+004
ARSB_HUMAN;5 (5);166.37;0.88;1.00;123;Arylsulfatase B OS=Homo sapiens GN=ARSB PE=1 SV=1;1.60e+004;1.59e+004
MLP3B_HUMAN;1 (1);21.48;0.87;1.98;123;Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens GN=MAP1LC3B PE=1 SV=3;1.08e+004;5463.44
PRS10_HUMAN;2 (1);61.41;0.87;1.84;123;26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1;8036.66;4372.47
LTBP3_HUMAN;1 (1);31.32;0.87;1.51;123;Latent-transforming growth factor beta-binding protein 3 OS=Homo sapiens GN=LTBP3 PE=1 SV=4;5794.10;3831.01
PSA_HUMAN;3 (3);101.02;0.87;1.23;123;Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2;879.04;1083.13
PGM1_HUMAN;7 (7);335.96;0.87;1.17;123;Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3;4409.96;5168.31
NRP1_HUMAN;4 (4);235.13;0.87;1.16;123;Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3;1.06e+004;9120.78
NDKB_HUMAN;15 (1);851.74;0.86;1.62;123;Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1;1.29e+005;7.95e+004
FRPD1_HUMAN;1 (1);41.98;0.86;1.20;123;FERM and PDZ domain-containing protein 1 OS=Homo sapiens GN=FRMPD1 PE=1 SV=1;3.42e+004;2.85e+004
AMPN_HUMAN;22 (22);926.12;0.86;1.12;123;Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4;2.72e+004;2.43e+004
MA1A1_HUMAN;2 (2);85.29;0.86;1.11;123;Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens GN=MAN1A1 PE=1 SV=3;6456.12;5837.57
ILF3_HUMAN;7 (7);220.44;0.86;1.07;123;Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3;2939.77;2751.28
LICH_HUMAN;2 (2);66.25;0.86;1.00;123;Lysosomal acid lipase/cholesteryl ester hydrolase OS=Homo sapiens GN=LIPA PE=1 SV=2;1.21e+004;1.21e+004
TBA1C_HUMAN;10 (1);664.45;0.85;1.71;123;Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1;1986.64;1164.81
ARHG4_HUMAN;1 (1);30.92;0.85;1.62;123;Rho guanine nucleotide exchange factor 4 OS=Homo sapiens GN=ARHGEF4 PE=1 SV=3;1325.92;820.48
SVEP1_HUMAN;15 (15);624.58;0.85;1.34;123;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3;1.64e+004;1.22e+004
DIDO1_HUMAN;2 (2);38.55;0.85;1.23;123;Death-inducer obliterator 1 OS=Homo sapiens GN=DIDO1 PE=1 SV=5;2.51e+004;2.04e+004
COR1C_HUMAN;9 (9);381.82;0.85;1.10;123;Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1;1.23e+004;1.12e+004
HXK1_HUMAN;4 (4);172.99;0.85;1.06;123;Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3;1403.84;1326.40
